UF;Ano;Total
11 Rondônia;2020;25798
12 Acre;2020;15142
13 Amazonas;2020;75635
14 Roraima;2020;13760
15 Pará;2020;132938
16 Amapá;2020;14633
17 Tocantins;2020;23729
21 Maranhão;2020;106079
22 Piauí;2020;45229
23 Ceará;2020;121904
24 Rio Grande do Norte;2020;43531
25 Paraíba;2020;56379
26 Pernambuco;2020;128481
27 Alagoas;2020;48341
28 Sergipe;2020;31784
29 Bahia;2020;188960
31 Minas Gerais;2020;247198
32 Espírito Santo;2020;53767
33 Rio de Janeiro;2020;199124
35 São Paulo;2020;552310
41 Paraná;2020;146291
42 Santa Catarina;2020;97916
43 Rio Grande do Sul;2020;130742
50 Mato Grosso do Sul;2020;41308
51 Mato Grosso;2020;57037
52 Goiás;2020;92768
53 Distrito Federal;2020;39361